Timestamp start: 1747232587461
Timestamp end: 1747234387749

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      213.5    81.2    50.7   100.0   110.2   216.9   253.7   270.7   282.6   295.6   313.0   338.3   391.5   490.3  1443.4  39938.8    39878
read      217.3   109.6    54.7   101.4   111.7   195.4   249.4   278.8   298.7   321.1   350.1   395.4   491.6   687.1  2541.0 110869.6   110750
read      189.4    55.1    59.1   107.4   123.1   190.2   209.9   220.1   227.8   235.4   248.3   267.2   313.4   453.2  1919.7   8207.8     8231
read      220.8   100.6    54.7    98.7   108.9   212.0   263.4   288.2   305.0   323.1   345.3   377.7   439.9   583.0  2209.0  63683.6    63638
read      208.5   100.1    54.7    98.2   107.7   192.0   247.0   272.9   289.8   308.3   330.7   364.7   432.6   561.2  2033.1  90449.0    90167
read      214.7    89.6    54.7    98.6   108.7   213.0   257.0   276.7   290.4   305.8   324.0   352.0   409.1   541.1  1584.2  50545.8    50555
read      202.0    66.1    54.7   106.6   121.2   204.3   226.4   237.7   246.9   256.5   270.0   291.1   340.3   494.7  1936.3  15993.8    15997
read      218.7    94.5    54.7   101.1   111.7   219.9   259.9   278.2   291.3   306.2   323.7   350.8   405.7   507.3  1568.0  42978.4    43089
read      199.3    61.7    59.1   109.4   124.7   200.5   221.8   232.8   241.0   250.5   263.2   282.4   330.7   471.8  1869.9  12229.4    12188
read      220.1   101.4    54.7    98.3   108.7   206.9   261.1   288.4   306.8   326.8   350.5   385.7   453.6   578.1  1494.5  76517.8    76615
read      301.9   218.8    54.7   107.9   119.6   229.2   317.6   373.9   427.6   500.5   595.4   743.8  1065.2  1612.6  2537.5 143655.0   143480
read      214.4   103.5    50.7    99.4   109.6   207.6   256.0   276.8   291.1   307.4   327.4   358.3   422.7   561.1  3415.6  63743.8    63793
read      218.9    98.0    50.7    98.1   108.4   207.5   260.8   287.0   304.7   323.9   346.4   379.6   442.4   543.7  1816.2  71994.6    71996
read      216.3    86.5    54.7   101.0   111.7   217.5   256.3   273.9   286.8   300.9   318.6   345.6   401.6   505.3  2241.4  41631.2    41778
read      208.7    67.3    59.1   105.1   118.0   212.1   237.3   250.8   260.4   271.1   286.0   309.0   360.3   470.5  1444.7  21892.4    21860
read      217.4    88.3    50.7    99.7   110.2   217.4   259.3   278.2   291.7   307.0   324.9   353.1   407.5   527.2  1627.3  45678.4    45582
read      219.2    97.6    46.9    97.7   107.9   205.5   259.4   286.7   305.6   326.3   351.1   386.7   456.0   559.2  1300.5  82025.2    81972
read      214.7    99.5    50.7    99.7   110.2   215.7   254.6   272.5   285.2   298.8   316.5   342.4   397.4   532.3  3626.3  43029.4    42852
read      215.7    87.4    54.7    98.5   108.7   213.0   258.2   278.8   292.9   309.3   328.8   357.8   417.1   507.3   861.5  52093.2    51852
read      209.4   110.2    50.7    99.6   109.7   188.4   241.7   270.5   289.5   310.5   336.3   374.4   460.6   610.6  1975.1 109359.4   109368
read      214.6    92.1    54.7    99.7   110.0   212.6   256.4   275.3   289.0   304.2   322.4   352.4   410.4   505.6  1766.7  55661.0    55794
read      217.9   101.0    54.7   102.2   113.1   221.2   256.0   272.5   284.4   297.0   314.8   340.6   395.0   484.9  3090.6  35547.0    35534
read      214.0    94.4    50.7    98.7   108.8   198.7   252.4   279.0   296.7   316.8   341.5   377.7   451.5   559.4  1329.0  90458.2    90576
