Timestamp start: 1747094973162
Timestamp end: 1747096773491

##type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      223.5    89.6    63.8   104.3   117.2   217.0   259.7   281.6   296.4   314.2   336.6   370.0   448.5   556.6  1355.9  42542.6    42594
read      215.3    98.5    63.8   100.8   111.7   195.0   246.9   276.3   296.3   318.3   345.6   389.0   473.5   600.9  1553.6  95168.1    95196
read      225.1    93.1    63.8   102.2   114.5   215.7   264.0   288.5   305.2   323.7   346.8   383.4   461.0   552.1  1225.1  52299.0    52243
read      228.7   159.1    63.8   105.5   119.2   221.1   262.9   284.8   299.4   316.5   339.1   372.4   453.4   632.3 10153.2  37050.9    37031
read      226.6    94.3    63.8   104.5   117.6   220.2   263.4   285.6   300.7   317.8   340.5   373.0   454.3   581.3  1968.1  39820.6    39878
read      211.5    96.6    63.8   101.9   112.4   188.8   238.1   268.9   290.1   313.4   341.8   384.8   474.2   619.5  1274.3 110916.4   110750
read      200.2   318.0    68.9   121.8   133.6   184.3   207.1   220.2   230.1   242.1   258.6   287.0   357.2  1411.0 17488.8   8255.3     8231
read      240.6   156.7    63.8   101.4   113.8   219.7   274.0   302.7   322.1   345.5   375.6   433.6   629.8  1357.7  3936.1  63493.2    63638
read      210.5    97.8    59.1    99.7   110.1   191.6   242.2   270.2   289.1   310.1   335.8   372.2   457.4   592.1  2193.6  90225.9    90167
read      225.0    96.5    63.8   102.0   114.2   216.0   263.6   288.1   304.7   322.7   345.8   380.9   456.9   575.1  1275.7  50557.3    50555
read      205.3    83.1    68.9   115.0   130.6   200.3   226.8   241.2   252.1   266.0   283.4   310.2   368.0   507.4  1886.9  15968.0    15997
read      223.1    92.3    63.8   102.1   114.4   216.5   260.3   282.9   298.1   316.0   338.4   370.5   449.6   584.8  1333.5  43132.2    43089
read      191.1   117.1    63.8   114.3   128.0   184.0   206.7   219.5   229.2   240.5   255.6   281.9   337.3   585.0  7361.6  12251.2    12188
read      228.0   106.0    63.8    99.2   111.0   211.6   266.2   296.5   317.0   340.1   367.8   410.1   491.9   603.2  1485.0  76525.3    76615
read      262.5   178.8    63.8   109.5   121.3   209.3   270.8   311.7   343.1   387.2   459.2   609.6   963.3  1435.5  2365.0 143520.5   143480
read      225.0   202.7    63.8   100.7   112.4   211.5   260.6   286.7   304.6   324.0   348.1   387.2   468.5   670.7  5208.9  63833.1    63793
read      226.4   106.5    63.8    99.4   111.2   211.6   264.5   293.2   312.3   333.9   360.7   401.1   483.4   620.9  1668.9  72186.1    71996
read      221.7    88.0    63.8   102.8   115.2   216.3   258.4   280.4   295.5   312.7   333.8   365.6   435.7   545.1  1489.1  41719.2    41778
read      208.6    71.6    63.8   109.4   124.5   204.7   233.3   249.4   261.4   275.1   294.4   320.8   383.6   519.8  1569.4  21792.5    21860
read      222.8   100.0    63.8   101.7   113.8   215.2   259.6   283.3   299.2   316.6   338.9   371.8   452.3   575.1  2456.1  45618.0    45582
